State,Zip,County,Green,Yellow,Red
SC,29707,Lancaster County,,Yellow,
SC,29718,Lancaster County,,,Red
SC,29720,Lancaster County,Green,,
SC,29037,Laurens County,,,Red
SC,29178,Laurens County,,,Red
SC,29325,Laurens County,,Yellow,
SC,29332,Laurens County,,Yellow,
SC,29335,Laurens County,,,Red
SC,29351,Laurens County,,,Red
SC,29355,Laurens County,,,Red
SC,29360,Laurens County,Green,,
SC,29370,Laurens County,,,Red
SC,29384,Laurens County,,,Red
SC,29388,Laurens County,,,Red
SC,29644,Laurens County,,,Red
SC,29645,Laurens County,,,Red
SC,29654,Laurens County,,,Red
SC,29681,Laurens County,,,Red
SC,29692,Laurens County,,,Red
SC,29006,Lexington County,,,Red
SC,29033,Lexington County,,Yellow,
SC,29036,Lexington County,,Yellow,
SC,29053,Lexington County,,,Red
SC,29054,Lexington County,Green,,
SC,29063,Lexington County,Green,,
SC,29070,Lexington County,,,Red
SC,29072,Lexington County,Green,,
SC,29073,Lexington County,,Yellow,
SC,29075,Lexington County,,,Red
SC,29112,Lexington County,,,Red
SC,29123,Lexington County,,,Red
SC,29160,Lexington County,,Yellow,
SC,29169,Lexington County,Green,,
SC,29170,Lexington County,,Yellow,
SC,29172,Lexington County,,,Red
SC,29205,Lexington County,,,Red
SC,29210,Lexington County,Green,,
SC,29212,Lexington County,Green,,
SC,29546,Marion County,,,Red
SC,29565,Marion County,,,Red
SC,29571,Marion County,,,Red
SC,29574,Marion County,Green,,
SC,29581,Marion County,,,Red
SC,29592,Marion County,,,Red
SC,29512,Marlboro County,,,Red
SC,29516,Marlboro County,,,Red
SC,29525,Marlboro County,,,Red
SC,29565,Marlboro County,,,Red
SC,29570,Marlboro County,,,Red
SC,29596,Marlboro County,,,Red
SC,29620,Mccormick County,,,Red
SC,29628,Mccormick County,,,Red
SC,29819,Mccormick County,,,Red
SC,29821,Mccormick County,,,Red
SC,29835,Mccormick County,,Yellow,
SC,29838,Mccormick County,,,Red
SC,29840,Mccormick County,,,Red
SC,29845,Mccormick County,,,Red
SC,29848,Mccormick County,,,Red
SC,29036,Newberry County,,,Red
SC,29037,Newberry County,,,Red
SC,29075,Newberry County,,,Red
SC,29108,Newberry County,Green,,
SC,29126,Newberry County,,,Red
SC,29127,Newberry County,,,Red
SC,29145,Newberry County,,,Red
SC,29178,Newberry County,,,Red
SC,29332,Newberry County,,,Red
SC,29355,Newberry County,,,Red
SC,29643,Oconee County,,Yellow,
SC,29658,Oconee County,,,Red
SC,29664,Oconee County,,,Red
SC,29665,Oconee County,,,Red
SC,29672,Oconee County,Green,,
SC,29676,Oconee County,,Yellow,
SC,29678,Oconee County,,,Red
SC,29686,Oconee County,Green,,
SC,29689,Oconee County,,,Red
SC,29691,Oconee County,,,Red
SC,29693,Oconee County,Green,,
SC,29696,Oconee County,Green,,
SC,29018,Orangeburg County,,,Red
SC,29030,Orangeburg County,,,Red
SC,29038,Orangeburg County,,,Red
SC,29039,Orangeburg County,,,Red
SC,29047,Orangeburg County,,,Red
SC,29048,Orangeburg County,Green,,
SC,29059,Orangeburg County,,,Red
SC,29107,Orangeburg County,,,Red
SC,29112,Orangeburg County,,,Red
SC,29113,Orangeburg County,,,Red
SC,29115,Orangeburg County,,Yellow,
SC,29116,Orangeburg County,,,Red
SC,29118,Orangeburg County,Green,,
SC,29133,Orangeburg County,,,Red
SC,29135,Orangeburg County,,,Red
SC,29137,Orangeburg County,,,Red
SC,29142,Orangeburg County,,,Red
SC,29146,Orangeburg County,,,Red
SC,29160,Orangeburg County,,,Red
SC,29163,Orangeburg County,,,Red
SC,29432,Orangeburg County,,Yellow,
SC,29436,Orangeburg County,,,Red
SC,29471,Orangeburg County,,,Red
SC,29477,Orangeburg County,,,Red
SC,29611,Pickens County,,,Red
SC,29630,Pickens County,,,Red
SC,29631,Pickens County,Green,,
SC,29635,Pickens County,,,Red
SC,29640,Pickens County,,,Red
SC,29642,Pickens County,,,Red
SC,29657,Pickens County,,,Red
SC,29661,Pickens County,,,Red
SC,29667,Pickens County,,,Red
SC,29670,Pickens County,,,Red
SC,29671,Pickens County,,,Red
