NC,Zip,County,Green,Yellow,Red
NC,28420,Brunswick County,Green,,
NC,28479,Brunswick County,,Yellow,
NC,28468,Brunswick County,Green,,
NC,28456,Brunswick County,Green,,
NC,28452,Brunswick County,,Yellow,
NC,28436,Brunswick County,,,Red
NC,27864,Edgecombe County,,Yellow,
NC,27801,Edgecombe County,,Yellow,
NC,27891,Edgecombe County,,Yellow,
NC,27886,Edgecombe County,Green,,
NC,27822,Edgecombe County,,Yellow,
NC,27843,Edgecombe County,,Yellow,
NC,27881,Edgecombe County,,,Red
NC,27829,Edgecombe County,Green,,
NC,27852,Edgecombe County,,Yellow,
NC,27809,Edgecombe County,,,Red
NC,27812,Edgecombe County,,,Red
NC,27803,Edgecombe County,,,Red
NC,27819,Edgecombe County,,Yellow,
NC,27834,Edgecombe County,,Yellow,
NC,28025,Cabarrus County,Green,,
NC,28081,Cabarrus County,,Yellow,
NC,28075,Cabarrus County,,Yellow,
NC,28107,Cabarrus County,,,Red
NC,28027,Cabarrus County,,Yellow,
NC,28036,Cabarrus County,,Yellow,
NC,28124,Cabarrus County,Green,,
NC,28071,Cabarrus County,,,Red
NC,28083,Cabarrus County,,,Red
NC,28269,Cabarrus County,,,Red
NC,28215,Cabarrus County,,,Red
NC,28078,Cabarrus County,,Yellow,
NC,28138,Cabarrus County,,Yellow,
NC,28097,Cabarrus County,Green,,
NC,28227,Cabarrus County,,,Red
NC,28213,Cabarrus County,,Yellow,
NC,28262,Cabarrus County,Green,,
NC,28645,Caldwell County,,Yellow,
NC,28630,Caldwell County,,Yellow,
NC,28638,Caldwell County,Green,,
NC,28605,Caldwell County,Green,,
NC,28601,Caldwell County,,,Red
NC,28611,Caldwell County,Green,,
NC,28655,Caldwell County,,,Red
NC,28606,Caldwell County,,Yellow,
NC,28667,Caldwell County,,,Red
NC,28624,Caldwell County,,Yellow,
NC,28555,Onslow County,,,Red
NC,28445,Onslow County,Green,,
NC,28540,Onslow County,,,Red
NC,28460,Onslow County,Green,,
NC,28539,Onslow County,,Yellow,
NC,28546,Onslow County,,,Red
NC,28574,Onslow County,Green,,
NC,28454,Onslow County,Green,,
NC,28544,Onslow County,Green,,
NC,28584,Onslow County,,Yellow,
NC,28582,Onslow County,,,Red
NC,28518,Onslow County,,Yellow,
NC,28521,Onslow County,,Yellow,
NC,28572,Onslow County,,Yellow,
NC,28547,Onslow County,Green,,
NC,27312,Chatham County,,,Red
NC,27344,Chatham County,,Yellow,
NC,27523,Chatham County,Green,,
NC,27252,Chatham County,,,Red
NC,27517,Chatham County,Green,,
NC,27207,Chatham County,,,Red
NC,27208,Chatham County,Green,,
NC,27559,Chatham County,Green,,
NC,27713,Chatham County,,Yellow,
NC,27330,Chatham County,,,Red
NC,27516,Chatham County,,,Red
NC,27562,Chatham County,Green,,
NC,27298,Chatham County,Green,,
NC,27349,Chatham County,Green,,
NC,27502,Chatham County,Green,,
NC,27540,Chatham County,,,Red
NC,27519,Chatham County,,,Red
NC,27355,Chatham County,Green,,
NC,27707,Chatham County,,Yellow,
NC,27520,Johnston County,,,Red
NC,27577,Johnston County,,,Red
NC,27501,Johnston County,Green,,
NC,27504,Johnston County,Green,,
NC,27542,Johnston County,,Yellow,
NC,27603,Johnston County,Green,,
NC,27576,Johnston County,Green,,
NC,27529,Johnston County,,,Red
NC,27569,Johnston County,,Yellow,
NC,27597,Johnston County,Green,,
NC,27527,Johnston County,,Yellow,
NC,27591,Johnston County,Green,,
NC,27524,Johnston County,,Yellow,
NC,27592,Johnston County,,,Red
NC,27557,Johnston County,,Yellow,
