id,zpid,state,county,address,city,zipcode,price,acres,price_per_acre,days_on_market,score,status,roi_pct,net_profit,red_flags
2908,460902658,TX,Medina County,"1079 County Road 6610 LOT 19-2, Devine, TX, 78016",Devine,78016,199000.0,11.0,18090.91,0,10,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold"
3007,457314848,TX,Guadalupe County,"TBD Private Rd, Seguin, TX, 78155",Seguin,78155,215000.0,10.1,21287.13,147,10,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold"
2990,456539155,TX,Caldwell County,"LOT 2A Tumbleweed Trl, Dale, TX, 78616",Dale,78616,225000.0,10.797,20839.12,180,10,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold"
2844,459762045,TX,Waller County,"1 Klaus Rd, Brookshire, TX, 77423",Brookshire,77423,250000.0,5.0,50000.0,92,10,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold"
2878,458466324,TX,Parker County,"Nelson Rd, Azle, TX, 76020",Azle,76020,250000.0,5.0,50000.0,106,10,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold"
2928,28714322,TX,Montgomery County,"26538 Flower Mound Ln, Magnolia, TX, 77354",Magnolia,77354,250000.0,6.023,41507.55,105,10,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold"
2862,87154269,TX,Blanco County,"LOT 48 Brock Hollow Dr, Johnson City, TX, 78636",Johnson City,78636,260000.0,5.8,44827.59,142,10,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold"
2904,2096738216,TX,Walker County,"000 Black Jack Cemetery Rd, Huntsville, TX, 77340",Huntsville,77340,274900.0,11.0,24990.91,109,10,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold"
2919,83736132,TX,Collin County,"8194 Private Road 5406, Blue Ridge, TX, 75424",Blue Ridge,75424,289900.0,10.0,28990.0,176,10,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold"
2932,450107330,TX,Collin County,"0 Old Josephine Rd, Farmersville, TX, 75442",Farmersville,75442,290000.0,7.18,40389.97,106,10,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold"
2824,446779218,TX,Ellis County,"3360 Fm 308, Milford, TX, 76670",Milford,76670,295000.0,6.08,48519.74,133,10,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold"
2803,458083420,TX,Gillespie County,"309 Walnut LOT 19B, Fredericksburg, TX, 78624",Fredericksburg,78624,385000.0,13.23,29100.53,118,10,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold"
2900,456616611,TX,Hood County,"Overton Ct, Granbury, TX, 76048",Granbury,76048,395700.0,15.553,25442.04,178,10,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold"
2845,457223618,TX,Comal County,"000 Rolling hill LOT 4, Spring Branch, TX, 78070",Spring Branch,78070,435625.0,10.25,42500.0,151,10,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold"
2799,450819006,TX,Presidio County,"Lots 25 31 Sec 65 Block 2 T&p Presidio County, Presidio, TX, 79845",Presidio,79845,4600.0,10.08,456.35,304,5,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold, Long DOM"
2976,119795963,TX,Rusk County,"17407 County Road 4247 W, Reklaw, TX, 75784",Reklaw,75784,58000.0,5.0,11600.0,303,5,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold, Long DOM"
2811,449813190,TX,Calhoun County,"Gulf Of Mexico, Palacios, TX, 77465",Palacios,77465,65000.0,10.0,6500.0,872,5,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold, Long DOM"
2877,434068443,TX,Gonzales County,"7 County Road 402, Flatonia, TX, 78941",Flatonia,78941,71400.0,6.5,10984.62,570,5,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold, Long DOM"
2834,344397732,TX,Clay County,"0 Hopewell Rd, Bellevue, TX, 76228",Bellevue,76228,79000.0,10.01,7892.11,293,5,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold, Long DOM"
2921,448825212,TX,Navarro County,"LOT 95 Stillwater Shores Dr, Corsicana, TX, 75109",Corsicana,75109,89000.0,5.5,16181.82,345,5,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold, Long DOM"
